contract_id,contract_area,input_expectation,output_expectation,forbidden_behavior,manual_review_required
cont_news_licensed_placeholder_contract,News licensed placeholder contract,Institutional feed requests.,Offline placeholder with licensing warning.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_public_dataset_placeholder_contract,News public dataset placeholder contract,Public benchmark dataset requests.,Offline placeholder with usage terms review note.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_dry-run_fixture_contract,News dry-run fixture contract,Synthetic request testing.,Valid synthetic metadata response.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_sentiment_placeholder_requirement_contract,News sentiment placeholder requirement contract,Topic categorization for downstream phases.,Categorical sentiment placeholder without NLP signals.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_impact_placeholder_requirement_contract,News impact placeholder requirement contract,Qualitative impact tags.,Impact placeholder without price directional forecasts.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_freshness_requirement_contract,News freshness requirement contract,Publication timestamps and staleness thresholds.,Standardized UTC timestamp evaluation.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_deduplication_requirement_contract,News deduplication requirement contract,Duplicate key and similarity thresholds.,Deduplication metadata attributes for Phase 112.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_output_validation_contract,News output validation contract,Generated news metadata outputs.,Compliance with Phase 112-115 quality standards.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_copyright_boundary_contract,News copyright boundary contract,External news reference requests.,Strict enforcement of zero raw article copying.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_safety_contract,News safety contract,All operations within news provider layer.,Absolute adherence to non-production safety invariants.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
