indicator_id,indicator_name,indicator_family,feature_type,dataset_types,required_fields,default_windows,formula_note,non_signal_usage_note,manual_review_required
ind_trend_ema,EMA,trend,feature_type_trend,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],"[12, 20, 26]",Exponential moving average with smoothing alpha = 2/(span+1),Ağırlıklı trend metriği; sinyal üretmez.,False
ind_trend_wma_placeholder,WMA_placeholder,trend,feature_type_trend,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],[20],Linearly weighted moving average placeholder,Ağırlıklı ortalama placeholder'ı; kesin yön tahmini içermez.,False
ind_trend_macd_placeholder,MACD_placeholder,trend,feature_type_trend,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],"[12, 26, 9]",EMA(fast) - EMA(slow) difference placeholder,Fark metriği; 'MACD yukarı -> kesin long' gibi kural kesinlikle yasaktır.,False
ind_trend_adx_placeholder,ADX_placeholder,trend,feature_type_trend,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low', 'close']",[14],Average directional index trend strength placeholder,Trend gücü göstergesi; trade sinyali değildir.,False
ind_trend_ichimoku_placeholder,Ichimoku_placeholder,trend,feature_type_trend,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low', 'close']","[9, 26, 52]",Tenkan/Kijun/Senkou lines placeholder,Çoklu çizgi seviye göstergesi; sinyal içermez.,False
ind_trend_donchian_channel_placeholder,Donchian_channel_placeholder,trend,feature_type_trend,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low']",[20],Highest high & lowest low channel band placeholder,Fiyat kanalı bantları; kırılım sinyali veya emir tetiklemez.,False
ind_trend_keltner_channel_placeholder,Keltner_channel_placeholder,trend,feature_type_trend,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low', 'close']",[20],EMA +- ATR multiplier channel placeholder,Volatilite bazlı trend kanalı; sinyal değildir.,False
ind_momentum_rsi,RSI,momentum,feature_type_momentum,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],[14],100 - (100 / (1 + RS)) where RS = rolling_gain / rolling_loss,Göreceli güç endeksi osilatörü; 'RSI düşük -> kesin al' yorumu kesinlikle yasaktır.,False
ind_momentum_roc,ROC,momentum,feature_type_momentum,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],"[10, 20]",(close - close.shift(window)) / close.shift(window) * 100,Değişim oranı momentum göstergesi; sinyal üretmez.,False
ind_momentum_momentum,momentum,momentum,feature_type_momentum,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],"[10, 14]",close - close.shift(window),Fiyat farkı metriği; sinyal veya işlem tavsiyesi değildir.,False
ind_momentum_stochastic_placeholder,stochastic_placeholder,momentum,feature_type_momentum,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low', 'close']","[14, 3]",%K = (close - lowest_low)/(highest_high - lowest_low)*100 placeholder,Stokastik osilatör konumu; alım satım kararı üretmez.,False
ind_momentum_williams_r_placeholder,williams_r_placeholder,momentum,feature_type_momentum,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low', 'close']",[14],(highest_high - close)/(highest_high - lowest_low)*(-100) placeholder,Williams %R osilatörü; sinyal değildir.,False
ind_momentum_cci_placeholder,CCI_placeholder,momentum,feature_type_momentum,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low', 'close']",[20],(Typical_Price - SMA) / (0.015 * Mean_Deviation) placeholder,Emtia kanal endeksi placeholder'ı; sinyal üretmez.,False
ind_volatility_rolling_std,rolling_std,volatility,feature_type_volatility,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],"[10, 20, 50]",close.rolling(window).std(),"Fiyat standart sapması; risk ölçüsü olarak kullanılır, sinyal değildir.",False
ind_volatility_atr,ATR,volatility,feature_type_volatility,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low', 'close']",[14],Average True Range rolling mean over window,Volatilite büyüklüğü metriğidir; kesin işlem tavsiyesi içermez.,False
ind_volatility_true_range,true_range,volatility,feature_type_volatility,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low', 'close']",[1],"max(high - low, abs(high - close.shift(1)), abs(low - close.shift(1)))",Tek çubuk gerçek aralık metriği; sinyal üretmez.,False
ind_volatility_bollinger_band_width_placeholder,bollinger_band_width_placeholder,volatility,feature_type_volatility,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],[20],(Upper_Band - Lower_Band) / Middle_Band placeholder,Bant genişliği sıkışma ölçüsü; patlama/kırılım sinyali değildir.,False
ind_volatility_parkinson_volatility_placeholder,parkinson_volatility_placeholder,volatility,feature_type_volatility,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['high', 'low']",[20],High-Low bazlı Parkinson volatilite tahmincisi placeholder'ı,Volatilite kestirimi; işlem sinyali değildir.,False
ind_volatility_garman_klass_volatility_placeholder,garman_klass_volatility_placeholder,volatility,feature_type_volatility,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']","['open', 'high', 'low', 'close']",[20],OHLC bazlı Garman-Klass volatilite tahmincisi placeholder'ı,Genişletilmiş volatilite tahmincisi; sinyal üretmez.,False
ind_volatility_realized_volatility_placeholder,realized_volatility_placeholder,volatility,feature_type_volatility,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],[20],sqrt(sum(return^2)) * sqrt(annualization_factor) placeholder,"Gerçekleşen volatilite; risk yönetimi analiz metriğidir, sinyal değildir.",False
ind_mean_reversion_zscore,zscore,mean_reversion,feature_type_mean_reversion,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],[20],(close - rolling_mean) / rolling_std,Normalleştirilmiş standart sapma mesafesi; kesin dönüş sinyali değildir.,False
ind_mean_reversion_bollinger_zscore,bollinger_zscore,mean_reversion,feature_type_mean_reversion,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],[20],(close - SMA20) / (2 * STD20),Bollinger orta bandına göre normalize konum; işlem sinyali değildir.,False
ind_mean_reversion_distance_to_sma,distance_to_sma,mean_reversion,feature_type_mean_reversion,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],"[20, 50]",(close - SMA) / SMA,Basit hareketli ortalamaya yüzde uzaklık; sinyal değildir.,False
ind_mean_reversion_distance_to_ema,distance_to_ema,mean_reversion,feature_type_mean_reversion,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],[20],(close - EMA) / EMA,Üstel hareketli ortalamaya yüzde uzaklık; sinyal değildir.,False
ind_mean_reversion_percentile_rank_placeholder,percentile_rank_placeholder,mean_reversion,feature_type_mean_reversion,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],"[50, 100]",Pencere içindeki yüzdelik dilim konumu placeholder'ı,Yüzdelik sıra konumu; al/sat göstergesi değildir.,False
ind_mean_reversion_rolling_deviation_placeholder,rolling_deviation_placeholder,mean_reversion,feature_type_mean_reversion,"['dataset_fx_ohlcv', 'dataset_commodity_ohlcv']",['close'],[20],Ortalama mutlak sapma (MAD) placeholder'ı,Fiyat dağılım genişliği; sinyal üretmez.,False
