indicator_id,indicator_name,indicator_family,required_fields,optional_fields,output_fields,default_parameters,formula_note,warmup_policy,no_lookahead_policy,non_signal_usage_note,status_label,manual_review_required
ti_family_trend_ichimoku_placeholder,ichimoku_placeholder,family_trend,"['high', 'low', 'close']",[],"['{prefix}_tenkan', '{prefix}_kijun', '{prefix}_senkou_a', '{prefix}_senkou_b']",{'prefix': 'ichimoku'},"Tenkan (9), Kijun (26), Senkou Spans A/B backward-aligned",52 bars,zero future cloud projection to avoid lookahead,Ichimoku bulut seviyeleri feature'ı. İleri ötelenmiş tahmin veya sinyal üretilmez.,indicator_ready,False
ti_family_momentum_momentum,momentum,family_momentum,['close'],[],['momentum_{window}'],{'window': 10},close - close.shift(window),window bars,shift(window) past only,Momentum büyüklük feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_momentum_roc,roc,family_momentum,['close'],[],['roc_{window}'],{'window': 10},((close - close.shift(window)) / close.shift(window)) * 100,window bars,shift(window) past only,Rate of change yüzdesi. Sinyal değildir.,indicator_ready,False
ti_family_momentum_rsi,rsi,family_momentum,['close'],[],['rsi_{window}'],{'window': 14},100 - (100 / (1 + RS)),window bars,past only,RSI osilatör değeri. Aşırı alım/satım yorumu veya trade sinyali üretilmez.,indicator_ready,False
ti_family_momentum_cmo,cmo,family_momentum,['close'],[],['cmo_{window}'],{'window': 14},100 * (sum_up - sum_down) / (sum_up + sum_down),window bars,rolling past only,Chande Momentum Osilatörü. Sinyal değildir.,indicator_ready,False
ti_family_momentum_tsi_placeholder,tsi_placeholder,family_momentum,['close'],[],['tsi_{long_window}_{short_window}'],"{'long_window': 25, 'short_window': 13}",True Strength Index double-smoothed momentum,long_window + short_window bars,ewm past only,TSI osilatör feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_oscillator_stochastic,stochastic,family_oscillator,"['high', 'low', 'close']",[],"['{prefix}_k_{k_window}', '{prefix}_d_{k_window}_{d_window}']","{'k_window': 14, 'd_window': 3, 'prefix': 'stoch'}",%K = (close - lowest) / (highest - lowest) * 100; %D = SMA(%K),k_window + d_window bars,rolling past only,Stochastic osilatör feature'ı. Crossover veya al/sat sinyali üretilmez.,indicator_ready,False
ti_family_oscillator_williams_r,williams_r,family_oscillator,"['high', 'low', 'close']",[],['williams_r_{window}'],{'window': 14},((highest - close) / (highest - lowest)) * -100,window bars,rolling past only,Williams %R osilatör feature'ı. Sinyal üretilmez.,indicator_ready,False
ti_family_oscillator_cci,cci,family_oscillator,"['high', 'low', 'close']",[],['cci_{window}'],{'window': 20},(typical_price - sma(tp)) / (0.015 * mean_deviation),window bars,rolling past only,Commodity Channel Index. Aşırı bölge tavsiyesi üretilmez.,indicator_ready,False
ti_family_oscillator_ultimate_oscillator_placeholder,ultimate_oscillator_placeholder,family_oscillator,"['high', 'low', 'close']",[],['{prefix}'],{'prefix': 'ultimate_osc'},"Weighted average of buying pressure across 3 periods (7, 14, 28)",28 bars,past only,Ultimate Osilatör feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_oscillator_mfi_placeholder,mfi_placeholder,family_oscillator,"['high', 'low', 'close']",['volume'],['mfi_{window}'],{'window': 14},Money Flow Index with volume weighting,window bars,past only,Money Flow Index feature'ı. Hacim eksikse graceful fallback sağlar.,indicator_ready,False
ti_family_volatility_true_range,true_range,family_volatility,"['high', 'low', 'close']",[],['true_range'],{},"max(high-low, abs(high-prev_close), abs(low-prev_close))",1 bar,shift(1) past only,True Range oynaklık feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_volatility_atr,atr,family_volatility,"['high', 'low', 'close']",[],['atr_{window}'],{'window': 14},rolling mean or RMA of true_range,window bars,past only,Average True Range oynaklık feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_volatility_rolling_std,rolling_std,family_volatility,['close'],[],['rolling_std_{window}'],{'window': 20},close.rolling(window).std(),window bars,rolling past only,Kapanış standart sapması feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_volatility_realized_volatility,realized_volatility,family_volatility,['close'],[],['realized_vol_{window}'],{'window': 20},std(log_return) * sqrt(252),window bars,rolling past only,Yıllıklandırılmış gerçekleşen oynaklık. Risk veya trade tavsiyesi değildir.,indicator_ready,False
ti_family_volatility_parkinson_volatility,parkinson_volatility,family_volatility,"['high', 'low']",[],['parkinson_vol_{window}'],{'window': 20},sqrt((1 / (4 * ln(2) * N)) * sum(ln(high/low)^2)) * sqrt(252),window bars,rolling past only,Parkinson High-Low oynaklık tahmini. Sinyal değildir.,indicator_ready,False
ti_family_volatility_garman_klass_volatility_placeholder,garman_klass_volatility_placeholder,family_volatility,"['open', 'high', 'low', 'close']",[],['garman_klass_vol_{window}'],{'window': 20},Garman-Klass OHLC volatility estimator,window bars,rolling past only,Garman-Klass oynaklık feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_range_rolling_high_low_range,rolling_high_low_range,family_range,"['high', 'low']",[],['rolling_hl_range_{window}'],{'window': 20},rolling max(high) - rolling min(low),window bars,rolling past only,Belirli penceredeki fiyat aralığı. Sinyal değildir.,indicator_ready,False
ti_family_range_rolling_range_pct,rolling_range_pct,family_range,"['high', 'low', 'close']",[],['rolling_range_pct_{window}'],{'window': 20},(rolling max(high) - rolling min(low)) / close,window bars,rolling past only,Fiyata oranlanmış pencere aralığı. Sinyal değildir.,indicator_ready,False
ti_family_range_average_range,average_range,family_range,"['high', 'low']",[],['average_range_{window}'],{'window': 20},(high - low).rolling(window).mean(),window bars,rolling past only,Ortalama bar aralığı feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_range_range_zscore,range_zscore,family_range,"['high', 'low']",[],['range_zscore_{window}'],{'window': 20},(range - rolling_mean_range) / rolling_std_range,window bars,rolling past only,Bar aralığı standart z-skoru. Sinyal değildir.,indicator_ready,False
ti_family_channel_bollinger_bands,bollinger_bands,family_channel,['close'],[],"['{prefix}_upper_{window}', '{prefix}_mid_{window}', '{prefix}_lower_{window}']","{'window': 20, 'num_std': 2.0, 'prefix': 'bb'}",SMA +- num_std * rolling_std,window bars,rolling past only,Bollinger bantları seviye feature'ları. Kırılım veya dönüş sinyali üretilmez.,indicator_ready,False
ti_family_channel_bollinger_bandwidth,bollinger_bandwidth,family_channel,['close'],[],['bb_bandwidth_{window}'],"{'window': 20, 'num_std': 2.0}",(upper - lower) / mid,window bars,rolling past only,Bollinger bant genişliği. Volatilite sıkışma feature'ıdır; yön bildirmez.,indicator_ready,False
ti_family_channel_bollinger_percent_b,bollinger_percent_b,family_channel,['close'],[],['bb_percent_b_{window}'],"{'window': 20, 'num_std': 2.0}",(close - lower) / (upper - lower),window bars,rolling past only,Fiyatın bant içindeki bağıl konumu. Sinyal değildir.,indicator_ready,False
ti_family_channel_keltner_channel_placeholder,keltner_channel_placeholder,family_channel,"['high', 'low', 'close']",[],"['{prefix}_upper_{window}', '{prefix}_mid_{window}', '{prefix}_lower_{window}']","{'window': 20, 'atr_window': 10, 'prefix': 'keltner'}",EMA +- 2 * ATR,window bars,rolling past only,Keltner kanalı feature seviyeleri. Sinyal değildir.,indicator_ready,False
ti_family_channel_donchian_position,donchian_position,family_channel,"['high', 'low', 'close']",[],['donchian_position_{window}'],{'window': 20},(close - donchian_lower) / (donchian_upper - donchian_lower),window bars,rolling past only,"Fiyatın Donchian kanalı içindeki bağıl konumu [0, 1]. Sinyal değildir.",indicator_ready,False
ti_family_candle_anatomy_candle_body_size,candle_body_size,family_candle_anatomy,"['open', 'close']",[],['candle_body_size'],{},abs(close - open),immediate,current bar only,Mum gövde büyüklüğü mutlak değeri. Sinyal değildir.,indicator_ready,False
ti_family_candle_anatomy_candle_body_pct,candle_body_pct,family_candle_anatomy,"['open', 'high', 'low', 'close']",[],['candle_body_pct'],{},abs(close - open) / (high - low),immediate,current bar only,Mum gövdesinin toplam bara oranı. Sinyal değildir.,indicator_ready,False
ti_family_candle_anatomy_upper_wick_size,upper_wick_size,family_candle_anatomy,"['open', 'high', 'close']",[],['upper_wick_size'],{},"high - max(open, close)",immediate,current bar only,Üst gölge boyutu feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_candle_anatomy_lower_wick_size,lower_wick_size,family_candle_anatomy,"['open', 'low', 'close']",[],['lower_wick_size'],{},"min(open, close) - low",immediate,current bar only,Alt gölge boyutu feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_candle_anatomy_wick_balance,wick_balance,family_candle_anatomy,"['open', 'high', 'low', 'close']",[],['wick_balance'],{},(upper_wick - lower_wick) / (high - low),immediate,current bar only,"Gölge dengesi [-1, 1]. Formasyon al/sat yorumu üretilmez.",indicator_ready,False
ti_family_quote_microstructure_quote_mid,quote_mid,family_quote_microstructure,"['bid', 'ask']",[],['quote_mid'],{},(bid + ask) / 2.0,immediate,current tick only,Quote orta fiyat feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_quote_microstructure_quote_spread,quote_spread,family_quote_microstructure,"['bid', 'ask']",[],['quote_spread'],{},ask - bid,immediate,current tick only,Quote farkı (spread) feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_quote_microstructure_quote_spread_pct,quote_spread_pct,family_quote_microstructure,"['bid', 'ask']",[],['quote_spread_pct'],{},(ask - bid) / quote_mid,immediate,current tick only,Yüzdesel spread feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_quote_microstructure_bid_ask_ratio_placeholder,bid_ask_ratio_placeholder,family_quote_microstructure,"['bid', 'ask']",[],['bid_ask_ratio_placeholder'],{},bid / ask,immediate,current tick only,Bid/Ask oran feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_quote_microstructure_quote_staleness_placeholder,quote_staleness_placeholder,family_quote_microstructure,['timestamp'],[],['quote_staleness_placeholder'],{},seconds elapsed since previous timestamp,1 tick,shift(1) past only,Veri tazelik gecikmesi feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_mean_reversion_rolling_zscore,rolling_zscore,family_mean_reversion,['close'],[],['rolling_zscore_{window}'],{'window': 20},(close - rolling_mean) / rolling_std,window bars,rolling past only,Z-skoru feature'ı. Aşırı sapma al/sat tavsiyesi üretmez.,indicator_ready,False
ti_family_mean_reversion_distance_to_sma,distance_to_sma,family_mean_reversion,['close'],[],['dist_to_sma_{window}'],{'window': 20},(close - SMA) / SMA,window bars,rolling past only,SMA uzaklık feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_mean_reversion_distance_to_ema,distance_to_ema,family_mean_reversion,['close'],[],['dist_to_ema_{window}'],{'window': 20},(close - EMA) / EMA,window bars,ewm past only,EMA uzaklık feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_mean_reversion_rolling_percentile_rank_placeholder,rolling_percentile_rank_placeholder,family_mean_reversion,['close'],[],['rolling_percentile_rank_{window}'],{'window': 100},"percentile rank of close in rolling window [0, 100]",window bars,rolling past only,Yüzdelik dilim feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_mean_reversion_rolling_deviation_ratio,rolling_deviation_ratio,family_mean_reversion,['close'],[],['rolling_deviation_ratio_{window}'],{'window': 20},abs(close - rolling_mean) / rolling_std,window bars,rolling past only,Mutlak sapma oranı feature'ı. Mean reversion giriş/çıkış sinyali üretmez.,indicator_ready,False
